FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,Y_STUDENT,Studente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,1,Si,2025,13,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2018,72,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2019,70,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2020,60,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2021,62,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2022,73,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2023,88,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2024,87,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,EMP,Occupati,9,Totale,2025,60,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2018,56,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2019,50,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2020,47,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2021,51,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2022,39,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2023,39,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2024,36,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,0,No,2025,29,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2018,5,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2019,6,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2020,5,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2021,6,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2022,4,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2023,5,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2024,5,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,1,Si,2025,2,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2018,61,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2019,56,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2020,52,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2021,56,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2022,43,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2023,43,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2024,41,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,UNEM,Disoccupati,9,Totale,2025,31,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2018,126,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2019,127,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2020,126,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2021,162,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2022,132,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2023,75,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2024,72,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,0,No,2025,53,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2018,1226,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2019,1222,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2020,1233,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2021,1187,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2022,1228,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2023,1281,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2024,1296,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,1,Si,2025,1361,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2018,1352,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2019,1349,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2020,1359,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2021,1349,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2022,1360,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2023,1355,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2024,1368,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOTIN,Totale inattivi,9,Totale,2025,1414,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2018,46,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2019,52,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2020,50,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2021,38,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2022,37,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2023,35,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2024,32,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,0,No,2025,28,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2018,23,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2019,21,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2020,19,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2021,14,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2022,18,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2023,19,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2024,18,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,1,Si,2025,13,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2018,69,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2019,72,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2020,70,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2021,53,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2022,55,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2023,54,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2024,49,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LFP,Forze lavoro potenziali,9,Totale,2025,41,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2018,80,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2019,76,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2020,75,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,0,No,2021,123,,
