territorio,sesso,fascia_eta,condizione_lavorativa,status_studente,anno,valore_migliaia
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2018,1987
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2019,1985
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2020,2030
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2021,1964
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2022,2039
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2023,2142
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2024,2231
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Si,2025,2310
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2018,9936
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2019,9914
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2020,10176
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2021,10034
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2022,10095
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2023,9936
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2024,10056
Italia,Femmine,15-74 anni,Non cercano e non disponibili,Totale,2025,10075
Italia,Femmine,15-74 anni,Totale,No,2018,20338
Italia,Femmine,15-74 anni,Totale,No,2019,20263
Italia,Femmine,15-74 anni,Totale,No,2020,20169
Italia,Femmine,15-74 anni,Totale,No,2021,20065
Italia,Femmine,15-74 anni,Totale,No,2022,19818
Italia,Femmine,15-74 anni,Totale,No,2023,19599
Italia,Femmine,15-74 anni,Totale,No,2024,19602
Italia,Femmine,15-74 anni,Totale,No,2025,19524
Italia,Femmine,15-74 anni,Totale,Si,2018,2295
Italia,Femmine,15-74 anni,Totale,Si,2019,2315
Italia,Femmine,15-74 anni,Totale,Si,2020,2359
Italia,Femmine,15-74 anni,Totale,Si,2021,2365
Italia,Femmine,15-74 anni,Totale,Si,2022,2452
Italia,Femmine,15-74 anni,Totale,Si,2023,2564
Italia,Femmine,15-74 anni,Totale,Si,2024,2605
Italia,Femmine,15-74 anni,Totale,Si,2025,2648
Italia,Femmine,15-74 anni,Totale,Totale,2017,22700
Italia,Femmine,15-74 anni,Totale,Totale,2018,22633
Italia,Femmine,15-74 anni,Totale,Totale,2019,22578
Italia,Femmine,15-74 anni,Totale,Totale,2020,22528
Italia,Femmine,15-74 anni,Totale,Totale,2021,22430
Italia,Femmine,15-74 anni,Totale,Totale,2022,22270
Italia,Femmine,15-74 anni,Totale,Totale,2023,22163
Italia,Femmine,15-74 anni,Totale,Totale,2024,22207
Italia,Femmine,15-74 anni,Totale,Totale,2025,22172
Italia,Femmine,15-89 anni,Forze lavoro,No,2018,10741
Italia,Femmine,15-89 anni,Forze lavoro,No,2019,10745
Italia,Femmine,15-89 anni,Forze lavoro,No,2020,10255
Italia,Femmine,15-89 anni,Forze lavoro,No,2021,10334
Italia,Femmine,15-89 anni,Forze lavoro,No,2022,10427
Italia,Femmine,15-89 anni,Forze lavoro,No,2023,10608
Italia,Femmine,15-89 anni,Forze lavoro,No,2024,10673
Italia,Femmine,15-89 anni,Forze lavoro,No,2025,10757
Italia,Femmine,15-89 anni,Forze lavoro,Si,2018,219
Italia,Femmine,15-89 anni,Forze lavoro,Si,2019,241
Italia,Femmine,15-89 anni,Forze lavoro,Si,2020,230
Italia,Femmine,15-89 anni,Forze lavoro,Si,2021,307
Italia,Femmine,15-89 anni,Forze lavoro,Si,2022,328
Italia,Femmine,15-89 anni,Forze lavoro,Si,2023,340
Italia,Femmine,15-89 anni,Forze lavoro,Si,2024,300
Italia,Femmine,15-89 anni,Forze lavoro,Si,2025,254
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2017,10929
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2018,10960
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2019,10986
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2020,10485
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2021,10641
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2022,10755
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2023,10947
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2024,10973
Italia,Femmine,15-89 anni,Forze lavoro,Totale,2025,11011
Italia,Femmine,15-89 anni,Occupati,No,2018,9495
Italia,Femmine,15-89 anni,Occupati,No,2019,9571
Italia,Femmine,15-89 anni,Occupati,No,2020,9206
Italia,Femmine,15-89 anni,Occupati,No,2021,9251
Italia,Femmine,15-89 anni,Occupati,No,2022,9471
Italia,Femmine,15-89 anni,Occupati,No,2023,9687
Italia,Femmine,15-89 anni,Occupati,No,2024,9902
Italia,Femmine,15-89 anni,Occupati,No,2025,10044
Italia,Femmine,15-89 anni,Occupati,Si,2018,181
Italia,Femmine,15-89 anni,Occupati,Si,2019,203
Italia,Femmine,15-89 anni,Occupati,Si,2020,192
Italia,Femmine,15-89 anni,Occupati,Si,2021,259
Italia,Femmine,15-89 anni,Occupati,Si,2022,278
Italia,Femmine,15-89 anni,Occupati,Si,2023,301
Italia,Femmine,15-89 anni,Occupati,Si,2024,265
Italia,Femmine,15-89 anni,Occupati,Si,2025,222
Italia,Femmine,15-89 anni,Occupati,Totale,2017,9577
Italia,Femmine,15-89 anni,Occupati,Totale,2018,9677
Italia,Femmine,15-89 anni,Occupati,Totale,2019,9774
Italia,Femmine,15-89 anni,Occupati,Totale,2020,9398
Italia,Femmine,15-89 anni,Occupati,Totale,2021,9510
Italia,Femmine,15-89 anni,Occupati,Totale,2022,9749
Italia,Femmine,15-89 anni,Occupati,Totale,2023,9989
Italia,Femmine,15-89 anni,Occupati,Totale,2024,10168
Italia,Femmine,15-89 anni,Occupati,Totale,2025,10267
Italia,Femmine,15-89 anni,Disoccupati,No,2018,1246
Italia,Femmine,15-89 anni,Disoccupati,No,2019,1174
Italia,Femmine,15-89 anni,Disoccupati,No,2020,1049
Italia,Femmine,15-89 anni,Disoccupati,No,2021,1083
Italia,Femmine,15-89 anni,Disoccupati,No,2022,956
Italia,Femmine,15-89 anni,Disoccupati,No,2023,921
Italia,Femmine,15-89 anni,Disoccupati,No,2024,771
Italia,Femmine,15-89 anni,Disoccupati,No,2025,712
Italia,Femmine,15-89 anni,Disoccupati,Si,2018,38
Italia,Femmine,15-89 anni,Disoccupati,Si,2019,38
Italia,Femmine,15-89 anni,Disoccupati,Si,2020,38
Italia,Femmine,15-89 anni,Disoccupati,Si,2021,48
Italia,Femmine,15-89 anni,Disoccupati,Si,2022,50
Italia,Femmine,15-89 anni,Disoccupati,Si,2023,38
Italia,Femmine,15-89 anni,Disoccupati,Si,2024,34
Italia,Femmine,15-89 anni,Disoccupati,Si,2025,32
Italia,Femmine,15-89 anni,Disoccupati,Totale,2017,1353
Italia,Femmine,15-89 anni,Disoccupati,Totale,2018,1283
Italia,Femmine,15-89 anni,Disoccupati,Totale,2019,1213
Italia,Femmine,15-89 anni,Disoccupati,Totale,2020,1087
Italia,Femmine,15-89 anni,Disoccupati,Totale,2021,1131
Italia,Femmine,15-89 anni,Disoccupati,Totale,2022,1005
Italia,Femmine,15-89 anni,Disoccupati,Totale,2023,959
Italia,Femmine,15-89 anni,Disoccupati,Totale,2024,805
Italia,Femmine,15-89 anni,Disoccupati,Totale,2025,745
Italia,Femmine,15-89 anni,Totale inattivi,No,2018,13166
Italia,Femmine,15-89 anni,Totale inattivi,No,2019,13088
Italia,Femmine,15-89 anni,Totale inattivi,No,2020,13479
Italia,Femmine,15-89 anni,Totale inattivi,No,2021,13287
Italia,Femmine,15-89 anni,Totale inattivi,No,2022,12994
Italia,Femmine,15-89 anni,Totale inattivi,No,2023,12641
Italia,Femmine,15-89 anni,Totale inattivi,No,2024,12613
Italia,Femmine,15-89 anni,Totale inattivi,No,2025,12502
Italia,Femmine,15-89 anni,Totale inattivi,Si,2018,2076
Italia,Femmine,15-89 anni,Totale inattivi,Si,2019,2073
Italia,Femmine,15-89 anni,Totale inattivi,Si,2020,2129
Italia,Femmine,15-89 anni,Totale inattivi,Si,2021,2058
Italia,Femmine,15-89 anni,Totale inattivi,Si,2022,2124
Italia,Femmine,15-89 anni,Totale inattivi,Si,2023,2225
Italia,Femmine,15-89 anni,Totale inattivi,Si,2024,2305
Italia,Femmine,15-89 anni,Totale inattivi,Si,2025,2393
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2017,15336
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2018,15242
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2019,15162
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2020,15608
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2021,15345
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2022,15118
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2023,14866
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2024,14918
Italia,Femmine,15-89 anni,Totale inattivi,Totale,2025,14896
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2018,1662
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2019,1602
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2020,1781
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2021,1678
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2022,1349
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2023,1211
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2024,1115
Italia,Femmine,15-89 anni,Forze lavoro potenziali,No,2025,1014
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2018,89
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2019,89
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2020,99
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2021,94
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2022,85
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2023,83
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2024,75
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Si,2025,83
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2018,1751
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2019,1691
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2020,1880
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2021,1773
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2022,1434
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2023,1294
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2024,1190
Italia,Femmine,15-89 anni,Forze lavoro potenziali,Totale,2025,1098
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2018,11504
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2019,11486
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2020,11698
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2021,11609
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2022,11645
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2023,11430
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2024,11498
Italia,Femmine,15-89 anni,Non cercano e non disponibili,No,2025,11488
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2018,1987
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2019,1985
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2020,2030
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2021,1964
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2022,2039
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2023,2142
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2024,2231
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Si,2025,2310
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2018,13491
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2019,13470
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2020,13728
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2021,13572
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2022,13684
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2023,13572
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2024,13728
Italia,Femmine,15-89 anni,Non cercano e non disponibili,Totale,2025,13798
Italia,Femmine,15-89 anni,Totale,No,2018,23907
Italia,Femmine,15-89 anni,Totale,No,2019,23833
Italia,Femmine,15-89 anni,Totale,No,2020,23734
Italia,Femmine,15-89 anni,Totale,No,2021,23621
Italia,Femmine,15-89 anni,Totale,No,2022,23421
Italia,Femmine,15-89 anni,Totale,No,2023,23249
Italia,Femmine,15-89 anni,Totale,No,2024,23286
Italia,Femmine,15-89 anni,Totale,No,2025,23259
Italia,Femmine,15-89 anni,Totale,Si,2018,2295
Italia,Femmine,15-89 anni,Totale,Si,2019,2315
Italia,Femmine,15-89 anni,Totale,Si,2020,2359
Italia,Femmine,15-89 anni,Totale,Si,2021,2365
Italia,Femmine,15-89 anni,Totale,Si,2022,2452
Italia,Femmine,15-89 anni,Totale,Si,2023,2564
Italia,Femmine,15-89 anni,Totale,Si,2024,2605
Italia,Femmine,15-89 anni,Totale,Si,2025,2648
Italia,Femmine,15-89 anni,Totale,Totale,2017,26265
Italia,Femmine,15-89 anni,Totale,Totale,2018,26202
Italia,Femmine,15-89 anni,Totale,Totale,2019,26148
Italia,Femmine,15-89 anni,Totale,Totale,2020,26093
Italia,Femmine,15-89 anni,Totale,Totale,2021,25986
Italia,Femmine,15-89 anni,Totale,Totale,2022,25873
Italia,Femmine,15-89 anni,Totale,Totale,2023,25813
Italia,Femmine,15-89 anni,Totale,Totale,2024,25891
Italia,Femmine,15-89 anni,Totale,Totale,2025,25907
Italia,Totale,15-19 anni,Forze lavoro,No,2018,184
Italia,Totale,15-19 anni,Forze lavoro,No,2019,173
Italia,Totale,15-19 anni,Forze lavoro,No,2020,145
Italia,Totale,15-19 anni,Forze lavoro,No,2021,150
Italia,Totale,15-19 anni,Forze lavoro,No,2022,151
Italia,Totale,15-19 anni,Forze lavoro,No,2023,160
Italia,Totale,15-19 anni,Forze lavoro,No,2024,148
Italia,Totale,15-19 anni,Forze lavoro,No,2025,116
Italia,Totale,15-19 anni,Forze lavoro,Si,2018,24
Italia,Totale,15-19 anni,Forze lavoro,Si,2019,30
Italia,Totale,15-19 anni,Forze lavoro,Si,2020,27
Italia,Totale,15-19 anni,Forze lavoro,Si,2021,29
Italia,Totale,15-19 anni,Forze lavoro,Si,2022,41
Italia,Totale,15-19 anni,Forze lavoro,Si,2023,46
Italia,Totale,15-19 anni,Forze lavoro,Si,2024,40
Italia,Totale,15-19 anni,Forze lavoro,Si,2025,31
Italia,Totale,15-19 anni,Forze lavoro,Totale,2018,208
Italia,Totale,15-19 anni,Forze lavoro,Totale,2019,203
Italia,Totale,15-19 anni,Forze lavoro,Totale,2020,171
Italia,Totale,15-19 anni,Forze lavoro,Totale,2021,179
Italia,Totale,15-19 anni,Forze lavoro,Totale,2022,193
Italia,Totale,15-19 anni,Forze lavoro,Totale,2023,205
Italia,Totale,15-19 anni,Forze lavoro,Totale,2024,188
Italia,Totale,15-19 anni,Forze lavoro,Totale,2025,147
Italia,Totale,15-19 anni,Occupati,No,2018,89
Italia,Totale,15-19 anni,Occupati,No,2019,87
Italia,Totale,15-19 anni,Occupati,No,2020,71
Italia,Totale,15-19 anni,Occupati,No,2021,70
Italia,Totale,15-19 anni,Occupati,No,2022,87
Italia,Totale,15-19 anni,Occupati,No,2023,97
Italia,Totale,15-19 anni,Occupati,No,2024,92
Italia,Totale,15-19 anni,Occupati,No,2025,70
Italia,Totale,15-19 anni,Occupati,Si,2018,16
Italia,Totale,15-19 anni,Occupati,Si,2019,19
Italia,Totale,15-19 anni,Occupati,Si,2020,18
Italia,Totale,15-19 anni,Occupati,Si,2021,20
Italia,Totale,15-19 anni,Occupati,Si,2022,28
Italia,Totale,15-19 anni,Occupati,Si,2023,37
Italia,Totale,15-19 anni,Occupati,Si,2024,30
Italia,Totale,15-19 anni,Occupati,Si,2025,27
Italia,Totale,15-19 anni,Occupati,Totale,2018,105
Italia,Totale,15-19 anni,Occupati,Totale,2019,106
Italia,Totale,15-19 anni,Occupati,Totale,2020,89
Italia,Totale,15-19 anni,Occupati,Totale,2021,89
Italia,Totale,15-19 anni,Occupati,Totale,2022,115
Italia,Totale,15-19 anni,Occupati,Totale,2023,133
Italia,Totale,15-19 anni,Occupati,Totale,2024,122
Italia,Totale,15-19 anni,Occupati,Totale,2025,97
Italia,Totale,15-19 anni,Disoccupati,No,2018,95
Italia,Totale,15-19 anni,Disoccupati,No,2019,86
Italia,Totale,15-19 anni,Disoccupati,No,2020,74
Italia,Totale,15-19 anni,Disoccupati,No,2021,81
Italia,Totale,15-19 anni,Disoccupati,No,2022,65
Italia,Totale,15-19 anni,Disoccupati,No,2023,63
Italia,Totale,15-19 anni,Disoccupati,No,2024,56
Italia,Totale,15-19 anni,Disoccupati,No,2025,46
Italia,Totale,15-19 anni,Disoccupati,Si,2018,9
Italia,Totale,15-19 anni,Disoccupati,Si,2019,11
Italia,Totale,15-19 anni,Disoccupati,Si,2020,8
Italia,Totale,15-19 anni,Disoccupati,Si,2021,9
Italia,Totale,15-19 anni,Disoccupati,Si,2022,13
Italia,Totale,15-19 anni,Disoccupati,Si,2023,9
Italia,Totale,15-19 anni,Disoccupati,Si,2024,10
Italia,Totale,15-19 anni,Disoccupati,Si,2025,4
Italia,Totale,15-19 anni,Disoccupati,Totale,2018,103
Italia,Totale,15-19 anni,Disoccupati,Totale,2019,97
Italia,Totale,15-19 anni,Disoccupati,Totale,2020,82
Italia,Totale,15-19 anni,Disoccupati,Totale,2021,90
Italia,Totale,15-19 anni,Disoccupati,Totale,2022,78
Italia,Totale,15-19 anni,Disoccupati,Totale,2023,72
Italia,Totale,15-19 anni,Disoccupati,Totale,2024,66
Italia,Totale,15-19 anni,Disoccupati,Totale,2025,50
Italia,Totale,15-19 anni,Totale inattivi,No,2018,249
Italia,Totale,15-19 anni,Totale inattivi,No,2019,244
Italia,Totale,15-19 anni,Totale inattivi,No,2020,251
Italia,Totale,15-19 anni,Totale inattivi,No,2021,322
Italia,Totale,15-19 anni,Totale inattivi,No,2022,248
Italia,Totale,15-19 anni,Totale inattivi,No,2023,138
Italia,Totale,15-19 anni,Totale inattivi,No,2024,135
Italia,Totale,15-19 anni,Totale inattivi,No,2025,99
Italia,Totale,15-19 anni,Totale inattivi,Si,2018,2407
Italia,Totale,15-19 anni,Totale inattivi,Si,2019,2410
Italia,Totale,15-19 anni,Totale inattivi,Si,2020,2431
Italia,Totale,15-19 anni,Totale inattivi,Si,2021,2346
Italia,Totale,15-19 anni,Totale inattivi,Si,2022,2421
Italia,Totale,15-19 anni,Totale inattivi,Si,2023,2540
Italia,Totale,15-19 anni,Totale inattivi,Si,2024,2576
Italia,Totale,15-19 anni,Totale inattivi,Si,2025,2664
Italia,Totale,15-19 anni,Totale inattivi,Totale,2018,2656
Italia,Totale,15-19 anni,Totale inattivi,Totale,2019,2655
Italia,Totale,15-19 anni,Totale inattivi,Totale,2020,2682
Italia,Totale,15-19 anni,Totale inattivi,Totale,2021,2668
Italia,Totale,15-19 anni,Totale inattivi,Totale,2022,2668
Italia,Totale,15-19 anni,Totale inattivi,Totale,2023,2678
Italia,Totale,15-19 anni,Totale inattivi,Totale,2024,2711
Italia,Totale,15-19 anni,Totale inattivi,Totale,2025,2763
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2018,83
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2019,85
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2020,91
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2021,68
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2022,64
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2023,57
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2024,53
Italia,Totale,15-19 anni,Forze lavoro potenziali,No,2025,46
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2018,40
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2019,38
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2020,34
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2021,29
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2022,33
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2023,34
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2024,33
Italia,Totale,15-19 anni,Forze lavoro potenziali,Si,2025,24
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2018,123
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2019,123
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2020,125
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2021,98
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2022,96
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2023,91
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2024,86
Italia,Totale,15-19 anni,Forze lavoro potenziali,Totale,2025,70
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2018,166
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2019,159
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2020,160
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2021,253
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2022,184
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2023,80
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2024,81
Italia,Totale,15-19 anni,Non cercano e non disponibili,No,2025,53
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2018,2367
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2019,2372
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2020,2397
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2021,2317
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2022,2388
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2023,2506
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2024,2544
Italia,Totale,15-19 anni,Non cercano e non disponibili,Si,2025,2640
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2018,2533
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2019,2531
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2020,2557
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2021,2570
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2022,2572
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2023,2587
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2024,2625
Italia,Totale,15-19 anni,Non cercano e non disponibili,Totale,2025,2693
Italia,Totale,15-19 anni,Totale,No,2018,433
Italia,Totale,15-19 anni,Totale,No,2019,417
Italia,Totale,15-19 anni,Totale,No,2020,396
Italia,Totale,15-19 anni,Totale,No,2021,472
Italia,Totale,15-19 anni,Totale,No,2022,399
Italia,Totale,15-19 anni,Totale,No,2023,297
Italia,Totale,15-19 anni,Totale,No,2024,282
Italia,Totale,15-19 anni,Totale,No,2025,215
Italia,Totale,15-19 anni,Totale,Si,2018,2432
Italia,Totale,15-19 anni,Totale,Si,2019,2440
Italia,Totale,15-19 anni,Totale,Si,2020,2458
Italia,Totale,15-19 anni,Totale,Si,2021,2375
Italia,Totale,15-19 anni,Totale,Si,2022,2462
Italia,Totale,15-19 anni,Totale,Si,2023,2585
Italia,Totale,15-19 anni,Totale,Si,2024,2616
Italia,Totale,15-19 anni,Totale,Si,2025,2695
Italia,Totale,15-19 anni,Totale,Totale,2018,2864
Italia,Totale,15-19 anni,Totale,Totale,2019,2857
Italia,Totale,15-19 anni,Totale,Totale,2020,2854
Italia,Totale,15-19 anni,Totale,Totale,2021,2847
Italia,Totale,15-19 anni,Totale,Totale,2022,2861
Italia,Totale,15-19 anni,Totale,Totale,2023,2883
Italia,Totale,15-19 anni,Totale,Totale,2024,2898
Italia,Totale,15-19 anni,Totale,Totale,2025,2910
Italia,Totale,20-24 anni,Forze lavoro,No,2018,1181
Italia,Totale,20-24 anni,Forze lavoro,No,2019,1172
Italia,Totale,20-24 anni,Forze lavoro,No,2020,1082
Italia,Totale,20-24 anni,Forze lavoro,No,2021,1109
Italia,Totale,20-24 anni,Forze lavoro,No,2022,1140
Italia,Totale,20-24 anni,Forze lavoro,No,2023,1142
Italia,Totale,20-24 anni,Forze lavoro,No,2024,1084
Italia,Totale,20-24 anni,Forze lavoro,No,2025,1029
Italia,Totale,20-24 anni,Forze lavoro,Si,2018,114
Italia,Totale,20-24 anni,Forze lavoro,Si,2019,123
Italia,Totale,20-24 anni,Forze lavoro,Si,2020,114
Italia,Totale,20-24 anni,Forze lavoro,Si,2021,151
Italia,Totale,20-24 anni,Forze lavoro,Si,2022,169
Italia,Totale,20-24 anni,Forze lavoro,Si,2023,181
Italia,Totale,20-24 anni,Forze lavoro,Si,2024,169
Italia,Totale,20-24 anni,Forze lavoro,Si,2025,145
Italia,Totale,20-24 anni,Forze lavoro,Totale,2018,1295
Italia,Totale,20-24 anni,Forze lavoro,Totale,2019,1295
Italia,Totale,20-24 anni,Forze lavoro,Totale,2020,1195
Italia,Totale,20-24 anni,Forze lavoro,Totale,2021,1260
Italia,Totale,20-24 anni,Forze lavoro,Totale,2022,1309
Italia,Totale,20-24 anni,Forze lavoro,Totale,2023,1323
Italia,Totale,20-24 anni,Forze lavoro,Totale,2024,1253
Italia,Totale,20-24 anni,Forze lavoro,Totale,2025,1174
Italia,Totale,20-24 anni,Occupati,No,2018,820
Italia,Totale,20-24 anni,Occupati,No,2019,853
Italia,Totale,20-24 anni,Occupati,No,2020,780
Italia,Totale,20-24 anni,Occupati,No,2021,800
Italia,Totale,20-24 anni,Occupati,No,2022,886
Italia,Totale,20-24 anni,Occupati,No,2023,889
Italia,Totale,20-24 anni,Occupati,No,2024,874
Italia,Totale,20-24 anni,Occupati,No,2025,829
Italia,Totale,20-24 anni,Occupati,Si,2018,94
Italia,Totale,20-24 anni,Occupati,Si,2019,102
Italia,Totale,20-24 anni,Occupati,Si,2020,90
Italia,Totale,20-24 anni,Occupati,Si,2021,123
Italia,Totale,20-24 anni,Occupati,Si,2022,145
Italia,Totale,20-24 anni,Occupati,Si,2023,158
Italia,Totale,20-24 anni,Occupati,Si,2024,152
Italia,Totale,20-24 anni,Occupati,Si,2025,124
Italia,Totale,20-24 anni,Occupati,Totale,2018,914
Italia,Totale,20-24 anni,Occupati,Totale,2019,955
Italia,Totale,20-24 anni,Occupati,Totale,2020,870
Italia,Totale,20-24 anni,Occupati,Totale,2021,923
Italia,Totale,20-24 anni,Occupati,Totale,2022,1031
Italia,Totale,20-24 anni,Occupati,Totale,2023,1047
Italia,Totale,20-24 anni,Occupati,Totale,2024,1026
Italia,Totale,20-24 anni,Occupati,Totale,2025,953
Italia,Totale,20-24 anni,Disoccupati,No,2018,360
Italia,Totale,20-24 anni,Disoccupati,No,2019,319
Italia,Totale,20-24 anni,Disoccupati,No,2020,302
Italia,Totale,20-24 anni,Disoccupati,No,2021,309
Italia,Totale,20-24 anni,Disoccupati,No,2022,255
Italia,Totale,20-24 anni,Disoccupati,No,2023,253
Italia,Totale,20-24 anni,Disoccupati,No,2024,210
Italia,Totale,20-24 anni,Disoccupati,No,2025,200
Italia,Totale,20-24 anni,Disoccupati,Si,2018,20
